order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
6,3,Cancelled,F,2024-01-16 18:54:22 UTC,,,,1
8,5,Cancelled,F,2025-10-12 20:05:22 UTC,,,,1
10,7,Cancelled,F,2025-02-23 18:53:41 UTC,,,,2
42,28,Cancelled,F,2023-09-23 14:57:30 UTC,,,,2
55,43,Cancelled,F,2025-05-27 01:52:24 UTC,,,,1
66,55,Cancelled,F,2023-04-28 07:02:40 UTC,,,,1
82,78,Cancelled,F,2022-08-29 14:49:45 UTC,,,,1
107,96,Cancelled,F,2021-10-16 21:38:47 UTC,,,,1
110,97,Cancelled,F,2022-10-29 09:31:48 UTC,,,,2
127,107,Cancelled,F,2025-09-16 01:25:42 UTC,,,,1
131,113,Cancelled,F,2021-11-07 17:07:27 UTC,,,,1
132,113,Cancelled,F,2021-11-26 03:15:53 UTC,,,,1
135,115,Cancelled,F,2026-02-12 01:34:52 UTC,,,,2
158,130,Cancelled,F,2023-01-08 22:45:00 UTC,,,,1
159,131,Cancelled,F,2025-10-25 23:56:55 UTC,,,,3
194,162,Cancelled,F,2020-05-31 13:36:39 UTC,,,,1
208,177,Cancelled,F,2019-11-09 04:52:14 UTC,,,,1
215,184,Cancelled,F,2024-08-14 03:37:17 UTC,,,,2
232,194,Cancelled,F,2020-05-03 03:33:54 UTC,,,,1
234,194,Cancelled,F,2022-07-28 17:50:21 UTC,,,,1
252,209,Cancelled,F,2026-03-05 18:40:02 UTC,,,,1
280,232,Cancelled,F,2026-01-04 04:25:31 UTC,,,,2
292,242,Cancelled,F,2024-04-25 18:22:45 UTC,,,,1
293,242,Cancelled,F,2023-01-28 12:08:43 UTC,,,,1
296,246,Cancelled,F,2025-04-04 01:45:00 UTC,,,,2
325,272,Cancelled,F,2020-06-15 05:07:47 UTC,,,,3
351,291,Cancelled,F,2022-09-17 10:51:11 UTC,,,,1
359,296,Cancelled,F,2023-02-28 03:52:22 UTC,,,,1
381,317,Cancelled,F,2025-11-03 09:55:30 UTC,,,,4
391,328,Cancelled,F,2025-11-18 18:03:35 UTC,,,,1
399,337,Cancelled,F,2023-11-26 04:39:50 UTC,,,,1
412,347,Cancelled,F,2025-11-20 06:58:58 UTC,,,,1
433,363,Cancelled,F,2023-05-01 16:29:16 UTC,,,,1
435,365,Cancelled,F,2026-03-12 14:31:57.247467 UTC,,,,1
439,368,Cancelled,F,2025-05-30 14:55:04 UTC,,,,1
465,390,Cancelled,F,2026-03-13 07:06:08 UTC,,,,1
474,396,Cancelled,F,2023-07-16 12:30:42 UTC,,,,1
482,403,Cancelled,F,2025-07-09 01:34:21 UTC,,,,1
493,412,Cancelled,F,2024-12-10 15:38:55 UTC,,,,1
514,423,Cancelled,F,2023-06-04 03:08:31 UTC,,,,1
537,438,Cancelled,F,2024-03-15 15:55:09 UTC,,,,1
546,445,Cancelled,F,2022-11-10 14:39:59 UTC,,,,4
558,453,Cancelled,F,2020-12-25 01:06:44 UTC,,,,1
575,467,Cancelled,F,2024-08-15 08:54:21 UTC,,,,4
576,467,Cancelled,F,2025-03-18 18:20:22 UTC,,,,1
583,472,Cancelled,F,2023-03-06 08:24:26 UTC,,,,1
599,483,Cancelled,F,2025-09-28 08:29:11 UTC,,,,1
606,488,Cancelled,F,2024-10-23 04:33:04 UTC,,,,1
615,498,Cancelled,F,2023-02-02 19:43:55 UTC,,,,1
620,500,Cancelled,F,2022-05-21 19:23:46 UTC,,,,1
621,501,Cancelled,F,2021-01-08 04:46:02 UTC,,,,3
629,510,Cancelled,F,2021-01-29 15:21:05 UTC,,,,2
630,510,Cancelled,F,2025-10-25 17:56:17 UTC,,,,3
679,548,Cancelled,F,2025-06-05 18:47:22 UTC,,,,2
709,576,Cancelled,F,2025-05-15 03:05:03 UTC,,,,1
729,593,Cancelled,F,2025-04-11 05:39:08 UTC,,,,1
763,620,Cancelled,F,2024-08-15 02:14:07 UTC,,,,4
774,628,Cancelled,F,2025-03-19 05:24:37 UTC,,,,1
778,631,Cancelled,F,2026-02-04 15:48:53 UTC,,,,2
782,636,Cancelled,F,2024-03-12 04:55:45 UTC,,,,1
796,644,Cancelled,F,2023-02-05 21:40:30 UTC,,,,1
809,658,Cancelled,F,2026-02-17 00:37:21 UTC,,,,1
813,660,Cancelled,F,2025-09-01 03:25:53 UTC,,,,1
833,671,Cancelled,F,2022-11-30 07:37:31 UTC,,,,1
835,673,Cancelled,F,2025-01-28 03:44:03 UTC,,,,2
847,684,Cancelled,F,2024-09-27 08:12:09 UTC,,,,2
860,698,Cancelled,F,2022-11-10 02:05:20 UTC,,,,1
870,706,Cancelled,F,2026-01-02 16:58:44 UTC,,,,1
878,712,Cancelled,F,2026-02-17 18:08:48 UTC,,,,1
882,715,Cancelled,F,2024-12-20 18:45:12 UTC,,,,2
902,727,Cancelled,F,2024-04-30 04:42:56 UTC,,,,1
920,739,Cancelled,F,2020-11-12 05:22:06 UTC,,,,1
937,745,Cancelled,F,2024-07-03 17:50:46 UTC,,,,3
938,745,Cancelled,F,2023-06-02 17:50:18 UTC,,,,1
940,746,Cancelled,F,2026-01-18 21:46:07 UTC,,,,1
941,747,Cancelled,F,2025-11-19 16:21:18 UTC,,,,1
952,756,Cancelled,F,2025-11-27 17:45:55 UTC,,,,1
956,760,Cancelled,F,2021-12-02 15:26:33 UTC,,,,2
964,766,Cancelled,F,2025-10-31 20:44:47 UTC,,,,1
973,774,Cancelled,F,2025-09-17 20:40:32 UTC,,,,1
976,777,Cancelled,F,2022-06-06 18:18:27 UTC,,,,1
990,792,Cancelled,F,2024-07-16 17:13:10 UTC,,,,1
1005,806,Cancelled,F,2025-07-20 10:09:29 UTC,,,,3
1051,842,Cancelled,F,2025-10-25 23:37:47 UTC,,,,2
1060,849,Cancelled,F,2024-09-17 17:52:09 UTC,,,,1
1066,853,Cancelled,F,2025-09-05 18:46:41 UTC,,,,4
1074,861,Cancelled,F,2025-02-22 07:45:44 UTC,,,,2
1075,862,Cancelled,F,2025-11-24 22:16:11 UTC,,,,1
1076,863,Cancelled,F,2025-12-07 03:43:32 UTC,,,,1
1081,868,Cancelled,F,2025-01-07 21:58:35 UTC,,,,1
1086,874,Cancelled,F,2020-06-20 20:46:02 UTC,,,,1
1092,877,Cancelled,F,2024-01-20 18:39:59 UTC,,,,4
1094,878,Cancelled,F,2026-01-05 07:08:44 UTC,,,,2
1111,890,Cancelled,F,2025-11-20 22:02:05 UTC,,,,1
1120,896,Cancelled,F,2025-10-11 05:40:05 UTC,,,,1
1123,898,Cancelled,F,2021-07-04 01:44:47 UTC,,,,2
1124,898,Cancelled,F,2022-08-27 11:51:48 UTC,,,,4
1125,898,Cancelled,F,2025-03-25 00:06:02 UTC,,,,2
1149,918,Cancelled,F,2025-07-01 01:46:31 UTC,,,,2
1165,928,Cancelled,F,2025-12-07 20:38:46 UTC,,,,1
1173,933,Cancelled,F,2024-05-22 14:06:27 UTC,,,,1
1190,951,Cancelled,F,2022-08-19 23:39:54 UTC,,,,4
1192,953,Cancelled,F,2024-05-27 18:39:17 UTC,,,,2
1195,957,Cancelled,F,2020-11-04 03:56:51 UTC,,,,1
1203,962,Cancelled,F,2023-07-02 11:03:21 UTC,,,,1
1206,962,Cancelled,F,2025-04-21 14:06:08 UTC,,,,1
1210,965,Cancelled,F,2025-07-31 22:42:40 UTC,,,,1
1254,996,Cancelled,F,2022-06-07 10:18:07 UTC,,,,1
